Quarter No.,XGDP,PCXFE,IMPPETROL,IMPXCOMP,FFR,InflExpn
19671,4324.926,20.124,4.113,19.5676,4.5,1.9431
19672,4328.72,20.258,4.174,19.4626,4.033,1.9715
19673,4366.088,20.441,4.298,19.4107,4,2.1411
19674,4401.233,20.646,4.236,19.4394,4.2272,2.3883
19681,4490.609,20.878,4.113,19.6252,4.5545,2.6225
19682,4566.442,21.12,4.174,19.7614,5.4011,2.8466
19683,4599.332,21.357,4.113,19.7551,5.4117,3.2842
19684,4619.803,21.606,4.236,19.8823,5.2871,3.7847
19691,4691.637,21.846,4.174,20.0357,5.5,4.4244
19692,4706.684,22.11,4.174,20.0915,5.9835,4.8189
19693,4736.143,22.366,4.113,20.2854,6,4.7288
19694,4715.469,22.63,4.112,20.9665,6,4.8402
19701,4707.112,22.876,4.174,21.2615,6,4.5674
19702,4715.441,23.135,4.174,21.4797,6,4.4004
19703,4757.213,23.393,4.236,22.1728,6,4.5207
19704,4708.281,23.721,4.36,22.4021,5.7893,5.4099
19711,4834.349,24.022,4.453,22.7993,4.9651,5.0736
19712,4861.938,24.296,4.576,22.6863,4.75,5.4001
19713,4899.95,24.525,4.7,22.9341,4.9596,4.5021
19714,4914.261,24.666,4.7,23.2116,4.8427,3.6969
19721,5002.436,24.903,4.7,23.8501,4.5,4.1363
19722,5118.278,25.073,4.824,24.6093,4.5,2.7208
19723,5165.448,25.262,4.824,25.0561,4.5,3.3315
19724,5251.226,25.421,4.917,25.6191,4.5,2.7146
19731,5380.502,25.599,5.102,26.4415,5.1086,2.9175
19732,5441.504,25.949,5.38,28.701,5.9099,4.0623
19733,5411.935,26.294,5.968,29.8169,7.254,4.2371
19734,5462.397,26.661,7.823,31.4354,7.5,4.5396
19741,5417.024,27.118,16.636,32.7168,7.5,5.3317
19742,5431.265,27.792,21.15,35.7093,7.8681,7.5798
19743,5378.679,28.588,21.212,38.5518,8,9.7041
19744,5357.166,29.287,20.996,40.5108,7.936,9.1865
19751,5292.444,29.862,20.934,41.5752,6.8751,7.6082
19752,5333.22,30.319,20.748,41.6902,6.1233,6.2439
19753,5421.357,30.775,20.562,40.0906,6,5.8353
19754,5494.446,31.276,21.027,39.5983,6,5.6714
19761,5618.52,31.752,21.799,40.0866,5.5988,5.2702
19762,5660.972,32.132,21.954,40.9751,5.5,4.6856
19763,5689.756,32.634,22.078,41.9192,5.5,6.1109
19764,5732.462,33.143,22.48,42.1648,5.3929,5.9019
19771,5799.16,33.695,23.469,43.7386,5.25,5.6995
19772,5912.977,34.211,23.995,45.2258,5.25,5.6693
19773,6017.586,34.782,23.995,46.0491,5.4198,6.0729
19774,6018.218,35.293,24.18,46.452,5.9326,5.4307
19781,6039.158,35.854,23.992,47.7413,6.4552,5.9772
19782,6273.963,36.477,23.872,49.4005,6.7807,6.373
19783,6335.317,37.105,23.84,50.2771,7.493,6.0635
19784,6420.288,37.771,23.935,51.3687,9.0822,6.1166
19791,6433.044,38.283,25.139,53.4571,9.5,5.7077
19792,6440.832,39.122,29.406,54.5485,9.5,6.4189
19793,6487.08,39.841,37.788,55.162,10.2047,6.4163
19794,6503.874,40.669,42.548,57.9576,11.9225,7.4616
19801,6524.912,41.659,50.495,60.7665,12.5064,8.4412
19802,6392.578,42.589,55.193,61.8324,12.4521,7.626
19803,6382.892,43.534,56.303,63.9431,10.3486,7.5679
19804,6501.184,44.592,58.071,64.8859,11.7834,7.6017
19811,6635.726,45.581,62.428,65.417,13,7.2972
19812,6587.269,46.437,64.465,65.2367,13.626,7.0222
19813,6662.858,47.287,60.205,64.2337,14,7.6068
19814,6585.127,48.122,58.687,65.0149,13.0435,7.0402
19821,6474.973,48.818,57.978,65.0949,12,5.7652
19822,6510.247,49.474,55.347,64.6274,12,6.0726
19823,6486.8,50.264,56.617,63.4004,10.839,6.6055
19824,6493.128,50.969,55.996,63.0412,9.2523,6.1434
19831,6578.175,51.663,50.096,63.2207,8.5,6.1366
19832,6728.287,52.064,50.341,63.3852,8.5,5.8371
19833,6860.022,52.857,51.636,63.2522,8.5,6.3625
19834,7001.489,53.281,50.868,63.0335,8.5,6.065
19841,7140.597,53.817,50.87,63.4113,8.5,5.7582
19842,7266.01,54.448,51.425,64.1341,8.9571,6.323
19843,7337.493,54.961,50.466,63.5181,9,5.1192
19844,7396.019,55.356,49.968,63.1511,8.7323,4.5619
19851,7469.545,56.122,48.359,61.8669,8,5.3839
19852,7537.928,56.63,48.823,62.039,7.7704,4.3313
19853,7655.196,57.22,46.565,62.3376,7.5,4.1012
19854,7712.624,57.622,47.434,63.871,7.5,4.5593
19861,7784.109,58.248,38.992,65.8449,7.3622,3.8291
19862,7819.843,58.634,23.871,66.761,6.6088,3.6653
19863,7898.555,59.023,20.686,68.2506,5.8302,3.9412
19864,7939.45,59.495,23.037,68.6722,5.5,4.0337
19871,7994.965,59.866,28.356,70.119,5.5,4.4208
19872,8084.71,60.437,31.413,71.8394,5.5,4.4045
19873,8158.035,60.972,32.621,72.4205,5.6467,3.805
19874,8292.687,61.601,30.89,74.362,6,4.7598
19881,8339.324,62.186,27.364,76.3035,6,3.3776
19882,8449.51,62.94,27.274,78.152,6,4.9739
19883,8498.282,63.665,25.57,77.7637,6.2877,4.4995
19884,8610.85,64.368,23.223,79.5301,6.5,4.3668
19891,8697.711,65.049,27.81,80.2155,6.7002,4.3342
19892,8766.105,65.628,32.992,80.0897,7,3.7616
19893,8831.544,66.1,30.187,79.2857,7,3.2336
19894,8850.23,66.7,31.814,79.5634,7,4.2155
19901,8947.129,67.451,35.063,80.3409,7,4.0831
19902,8981.727,68.197,28.637,80.5027,7,4.745
19903,8983.945,68.875,35.941,81.038,7,4.4104
19904,8907.363,69.446,51.91,82.3109,6.9292,4.1213
19911,8865.564,70.036,36.372,83.2073,6.1722,4.1395
19912,8934.366,70.564,30.786,82.6024,5.6582,3.9354
19913,8977.252,71.196,28.555,81.9885,5.4022,3.859
19914,9016.444,71.749,28.519,82.7403,4.5632,3.7912
19921,9122.95,72.288,27.45,83.6424,3.5,3.9759
19922,9223.545,72.797,30.42,83.3112,3.5,3.8763
19923,9313.208,73.228,31.286,84.2499,3.0067,3.6678
19924,9406.528,73.77,28.902,84.6043,3,3.5086
19931,9424.065,74.277,29.637,83.8575,3,3.5026
19932,9480.106,74.843,29.193,84.4757,3,3.6431
19933,9526.337,75.263,25.78,84.6855,3,3.3815
19934,9653.509,75.649,23.2,85.2298,3,3.1404
19941,9748.156,75.988,22.698,85.4406,3,2.5233
